🌀  CYCLONE
🥂  CLINKING GLASSES
🥃  TUMBLER GLASS
🥄  SPOON
🥅  GOAL NET
🥆  RIFLE
🥇  FIRST PLACE MEDAL
🥈  SECOND PLACE MEDAL
🥉  THIRD PLACE MEDAL
🥊  BOXING GLOVE
🥋  MARTIAL ARTS UNIFORM
🥌  CURLING STONE
🥍  LACROSSE STICK AND BALL
🥎  SOFTBALL
🥏  FLYING DISC
🥐  CROISSANT
🥑  AVOCADO
🥒  CUCUMBER
🥓  BACON
🥔  POTATO
🥕  CARROT
🥖  BAGUETTE BREAD
🥗  GREEN SALAD
🥘  SHALLOW PAN OF FOOD
🥙  STUFFED FLATBREAD
🥚  EGG
🥛  GLASS OF MILK
🥜  PEANUTS
🥝  KIWIFRUIT
🥞  PANCAKES
🥟  DUMPLING
🥠  FORTUNE COOKIE
🥡  TAKEOUT BOX
🥢  CHOPSTICKS
🥣  BOWL WITH SPOON
🥤  CUP WITH STRAW
🥥  COCONUT
🥦  BROCCOLI
🥧  PIE
🥨  PRETZEL
🥩  CUT OF MEAT
🥪  SANDWICH
🥫  CANNED FOOD
🥬  LEAFY GREEN
🥭  MANGO
🥮  MOON CAKE
🥯  BAGEL
🥰  SMILING FACE WITH SMILING EYES AND THREE HEARTS
🥱  YAWNING FACE
🥲  SMILING FACE WITH TEAR
🥳  FACE WITH PARTY HORN AND PARTY HAT
🥴  FACE WITH UNEVEN EYES AND WAVY MOUTH
🥵  OVERHEATED FACE
🥶  FREEZING FACE
🥷  NINJA
🥸  DISGUISED FACE
🥹  FACE HOLDING BACK TEARS
🥺  FACE WITH PLEADING EYES
🥻  SARI
🥼  LAB COAT
🥽  GOGGLES
🥾  HIKING BOOT
🥿  FLAT SHOE
🦀  CRAB
🦁  LION FACE
🦂  SCORPION
🦃  TURKEY
🦄  UNICORN FACE
🦅  EAGLE
🦆  DUCK
🦇  BAT
🦈  SHARK
🦉  OWL
🦊  FOX FACE
🦋  BUTTERFLY
🦌  DEER
🦍  GORILLA
🦎  LIZARD
🦏  RHINOCEROS
🦐  SHRIMP
🦑  SQUID
🦒  GIRAFFE FACE
🦓  ZEBRA FACE
🦔  HEDGEHOG
🦕  SAUROPOD
🦖  T-REX
🦗  CRICKET
🦘  KANGAROO
🦙  LLAMA
🦚  PEACOCK
🦛  HIPPOPOTAMUS
🦜  PARROT
🦝  RACCOON
🦞  LOBSTER
🦟  MOSQUITO
🦠  MICROBE
🦡  BADGER
🦢  SWAN
🦣  MAMMOTH
🦤  DODO
🦥  SLOTH
🦦  OTTER
🦧  ORANGUTAN
🦨  SKUNK
🦩  FLAMINGO
🦪  OYSTER
🦫  BEAVER
🦬  BISON
🦭  SEAL
🦮  GUIDE DOG
🦯  PROBING CANE
🦰  EMOJI COMPONENT RED HAIR
🦱  EMOJI COMPONENT CURLY HAIR
🦲  EMOJI COMPONENT BALD
🦳  EMOJI COMPONENT WHITE HAIR
🦴  BONE
🦵  LEG
🦶  FOOT
🦷  TOOTH
🦸  SUPERHERO
🦹  SUPERVILLAIN
🦺  SAFETY VEST
🦻  EAR WITH HEARING AID
🦼  MOTORIZED WHEELCHAIR
🦽  MANUAL WHEELCHAIR
🦾  MECHANICAL ARM
🦿  MECHANICAL LEG
🧀  CHEESE WEDGE
🧁  CUPCAKE
🧂  SALT SHAKER
🧃  BEVERAGE BOX
🧄  GARLIC
🧅  ONION
🧆  FALAFEL
🧇  WAFFLE
🧈  BUTTER
🧉  MATE DRINK
🧊  ICE CUBE
🧋  BUBBLE TEA
🧌  TROLL
🧍  STANDING PERSON
🧎  KNEELING PERSON
🧏  DEAF PERSON
🧐  FACE WITH MONOCLE
🧑  ADULT
🧒  CHILD
🧓  OLDER ADULT
🧔  BEARDED PERSON
🧕  PERSON WITH HEADSCARF
🧖  PERSON IN STEAMY ROOM
🧗  PERSON CLIMBING
🧘  PERSON IN LOTUS POSITION
🧙  MAGE
🧚  FAIRY
🧛  VAMPIRE
🧜  MERPERSON
🧝  ELF
🧞  GENIE
🧟  ZOMBIE
🧠  BRAIN
🧡  ORANGE HEART
🧢  BILLED CAP
🧣  SCARF
🧤  GLOVES
🧥  COAT
🧦  SOCKS
🧧  RED GIFT ENVELOPE
🧨  FIRECRACKER
🧩  JIGSAW PUZZLE PIECE
🧪  TEST TUBE
🧫  PETRI DISH
🧬  DNA DOUBLE HELIX
🧭  COMPASS
🧮  ABACUS
🧯  FIRE EXTINGUISHER
🧰  TOOLBOX
🧱  BRICK
🧲  MAGNET
🧳  LUGGAGE
🧴  LOTION BOTTLE
🧵  SPOOL OF THREAD
🧶  BALL OF YARN
🧷  SAFETY PIN
🧸  TEDDY BEAR
🧹  BROOM
🧺  BASKET
🧻  ROLL OF PAPER
🧼  BAR OF SOAP
🧽  SPONGE
🧾  RECEIPT
🧿  NAZAR AMULET
🨀  NEUTRAL CHESS KING
🨁  NEUTRAL CHESS QUEEN
🨂  NEUTRAL CHESS ROOK
🨃  NEUTRAL CHESS BISHOP
🨄  NEUTRAL CHESS KNIGHT
🨅  NEUTRAL CHESS PAWN
🨆  WHITE CHESS KNIGHT ROTATED FORTY-FIVE DEGREES
🨇  BLACK CHESS KNIGHT ROTATED FORTY-FIVE DEGREES
🨈  NEUTRAL CHESS KNIGHT ROTATED FORTY-FIVE DEGREES
🨉  WHITE CHESS KING ROTATED NINETY DEGREES
🨊  WHITE CHESS QUEEN ROTATED NINETY DEGREES
🨋  WHITE CHESS ROOK ROTATED NINETY DEGREES
🨌  WHITE CHESS BISHOP ROTATED NINETY DEGREES
🨍  WHITE CHESS KNIGHT ROTATED NINETY DEGREES
🨎  WHITE CHESS PAWN ROTATED NINETY DEGREES
🨏  BLACK CHESS KING ROTATED NINETY DEGREES
🨐  BLACK CHESS QUEEN ROTATED NINETY DEGREES
🨑  BLACK CHESS ROOK ROTATED NINETY DEGREES
🨒  BLACK CHESS BISHOP ROTATED NINETY DEGREES
🨓  BLACK CHESS KNIGHT ROTATED NINETY DEGREES
🨔  BLACK CHESS PAWN ROTATED NINETY DEGREES
🨕  NEUTRAL CHESS KING ROTATED NINETY DEGREES
🨖  NEUTRAL CHESS QUEEN ROTATED NINETY DEGREES
🨗  NEUTRAL CHESS ROOK ROTATED NINETY DEGREES
🨘  NEUTRAL CHESS BISHOP ROTATED NINETY DEGREES
🨙  NEUTRAL CHESS KNIGHT ROTATED NINETY DEGREES
🨚  NEUTRAL CHESS PAWN ROTATED NINETY DEGREES
🨛  WHITE CHESS KNIGHT ROTATED ONE HUNDRED THIRTY-FIVE DEGREES
🨜  BLACK CHESS KNIGHT ROTATED ONE HUNDRED THIRTY-FIVE DEGREES
🨝  NEUTRAL CHESS KNIGHT ROTATED ONE HUNDRED THIRTY-FIVE DEGREES
🨞  WHITE CHESS TURNED KING
🨟  WHITE CHESS TURNED QUEEN
🨠  WHITE CHESS TURNED ROOK
🨡  WHITE CHESS TURNED BISHOP
🨢  WHITE CHESS TURNED KNIGHT
🨣  WHITE CHESS TURNED PAWN
🨤  BLACK CHESS TURNED KING
🨥  BLACK CHESS TURNED QUEEN
🨦  BLACK CHESS TURNED ROOK
🨧  BLACK CHESS TURNED BISHOP
🨨  BLACK CHESS TURNED KNIGHT
🨩  BLACK CHESS TURNED PAWN
🨪  NEUTRAL CHESS TURNED KING
🨫  NEUTRAL CHESS TURNED QUEEN
🨬  NEUTRAL CHESS TURNED ROOK
🨭  NEUTRAL CHESS TURNED BISHOP
🨮  NEUTRAL CHESS TURNED KNIGHT
🨯  NEUTRAL CHESS TURNED PAWN
🨰  WHITE CHESS KNIGHT ROTATED TWO HUNDRED TWENTY-FIVE DEGREES
🨱  BLACK CHESS KNIGHT ROTATED TWO HUNDRED TWENTY-FIVE DEGREES
🨲  NEUTRAL CHESS KNIGHT ROTATED TWO HUNDRED TWENTY-FIVE DEGREES
🨳  WHITE CHESS KING ROTATED TWO HUNDRED SEVENTY DEGREES
🨴  WHITE CHESS QUEEN ROTATED TWO HUNDRED SEVENTY DEGREES
🨵  WHITE CHESS ROOK ROTATED TWO HUNDRED SEVENTY DEGREES
🨶  WHITE CHESS BISHOP ROTATED TWO HUNDRED SEVENTY DEGREES
🨷  WHITE CHESS KNIGHT ROTATED TWO HUNDRED SEVENTY DEGREES
🨸  WHITE CHESS PAWN ROTATED TWO HUNDRED SEVENTY DEGREES
🨹  BLACK CHESS KING ROTATED TWO HUNDRED SEVENTY DEGREES
🨺  BLACK CHESS QUEEN ROTATED TWO HUNDRED SEVENTY DEGREES
🨻  BLACK CHESS ROOK ROTATED TWO HUNDRED SEVENTY DEGREES
🨼  BLACK CHESS BISHOP ROTATED TWO HUNDRED SEVENTY DEGREES
🨽  BLACK CHESS KNIGHT ROTATED TWO HUNDRED SEVENTY DEGREES
🨾  BLACK CHESS PAWN ROTATED TWO HUNDRED SEVENTY DEGREES
🨿  NEUTRAL CHESS KING ROTATED TWO HUNDRED SEVENTY DEGREES
🩀  NEUTRAL CHESS QUEEN ROTATED TWO HUNDRED SEVENTY DEGREES
🩁  NEUTRAL CHESS ROOK ROTATED TWO HUNDRED SEVENTY DEGREES
🩂  NEUTRAL CHESS BISHOP ROTATED TWO HUNDRED SEVENTY DEGREES
🩃  NEUTRAL CHESS KNIGHT ROTATED TWO HUNDRED SEVENTY DEGREES
🩄  NEUTRAL CHESS PAWN ROTATED TWO HUNDRED SEVENTY DEGREES
🩅  WHITE CHESS KNIGHT ROTATED THREE HUNDRED FIFTEEN DEGREES
🩆  BLACK CHESS KNIGHT ROTATED THREE HUNDRED FIFTEEN DEGREES
🩇  NEUTRAL CHESS KNIGHT ROTATED THREE HUNDRED FIFTEEN DEGREES
🩈  WHITE CHESS EQUIHOPPER
🩉  BLACK CHESS EQUIHOPPER
🩊  NEUTRAL CHESS EQUIHOPPER
🩋  WHITE CHESS EQUIHOPPER ROTATED NINETY DEGREES
🩌  BLACK CHESS EQUIHOPPER ROTATED NINETY DEGREES
🩍  NEUTRAL CHESS EQUIHOPPER ROTATED NINETY DEGREES
🩎  WHITE CHESS KNIGHT-QUEEN
🩏  WHITE CHESS KNIGHT-ROOK
🩐  WHITE CHESS KNIGHT-BISHOP
🩑  BLACK CHESS KNIGHT-QUEEN
🩒  BLACK CHESS KNIGHT-ROOK
🩓  BLACK CHESS KNIGHT-BISHOP
🩠  XIANGQI RED GENERAL
🩡  XIANGQI RED MANDARIN
🩢  XIANGQI RED ELEPHANT
🩣  XIANGQI RED HORSE
🩤  XIANGQI RED CHARIOT
🩥  XIANGQI RED CANNON
🩦  XIANGQI RED SOLDIER
🩧  XIANGQI BLACK GENERAL
🩨  XIANGQI BLACK MANDARIN
🩩  XIANGQI BLACK ELEPHANT
🩪  XIANGQI BLACK HORSE
🩫  XIANGQI BLACK CHARIOT
🩬  XIANGQI BLACK CANNON
🩭  XIANGQI BLACK SOLDIER
🩰  BALLET SHOES
🩱  ONE-PIECE SWIMSUIT
🩲  BRIEFS
🩳  SHORTS
🩴  THONG SANDAL
🩸  DROP OF BLOOD
🩹  ADHESIVE BANDAGE
🩺  STETHOSCOPE
🩻  X-RAY
🩼  CRUTCH
🪀  YO-YO
🪁  KITE
🪂  PARACHUTE
🪃  BOOMERANG
🪄  MAGIC WAND
🪅  PINATA
🪆  NESTING DOLLS
🪐  RINGED PLANET
🪑  CHAIR
🪒  RAZOR
🪓  AXE
🪔  DIYA LAMP
🪕  BANJO
🪖  MILITARY HELMET
🪗  ACCORDION
🪘  LONG DRUM
🪙  COIN
🪚  CARPENTRY SAW
🪛  SCREWDRIVER
🪜  LADDER
🪝  HOOK
🪞  MIRROR
🪟  WINDOW
🪠  PLUNGER
🪡  SEWING NEEDLE
🪢  KNOT
🪣  BUCKET
🪤  MOUSE TRAP
🪥  TOOTHBRUSH
🪦  HEADSTONE
🪧  PLACARD
🪨  ROCK
🪩  MIRROR BALL
🪪  IDENTIFICATION CARD
🪫  LOW BATTERY
🪬  HAMSA
🪰  FLY
🪱  WORM
🪲  BEETLE
🪳  COCKROACH
🪴  POTTED PLANT
🪵  WOOD
🪶  FEATHER
🪷  LOTUS
🪸  CORAL
🪹  EMPTY NEST
🪺  NEST WITH EGGS
🫀  ANATOMICAL HEART
🫁  LUNGS
🫂  PEOPLE HUGGING
🫃  PREGNANT MAN
🫄  PREGNANT PERSON
🫅  PERSON WITH CROWN
🫐  BLUEBERRIES
🫑  BELL PEPPER
🫒  OLIVE
🫓  FLATBREAD
🫔  TAMALE
🫕  FONDUE
🫖  TEAPOT
🫗  POURING LIQUID
🫘  BEANS
🫙  JAR
🫠  MELTING FACE
🫡  SALUTING FACE
🫢  FACE WITH OPEN EYES AND HAND OVER MOUTH
🫣  FACE WITH PEEKING EYE
🫤  FACE WITH DIAGONAL MOUTH
🫥  DOTTED LINE FACE
🫦  BITING LIP
🫧  BUBBLES
🫰  HAND WITH INDEX FINGER AND THUMB CROSSED
🫱  RIGHTWARDS HAND
🫲  LEFTWARDS HAND
🫳  PALM DOWN HAND
🫴  PALM UP HAND
🫵  INDEX POINTING AT THE VIEWER
🫶  HEART HANDS
☀  BLACK SUN WITH RAYS
☁  CLOUD
☂  UMBRELLA
☃  SNOWMAN
☄  COMET
★  BLACK STAR
☆  WHITE STAR
☇  LIGHTNING
☈  THUNDERSTORM
☉  SUN
☊  ASCENDING NODE
☋  DESCENDING NODE
☌  CONJUNCTION
☍  OPPOSITION
☎  BLACK TELEPHONE
☏  WHITE TELEPHONE
☐  BALLOT BOX
☑  BALLOT BOX WITH CHECK
☒  BALLOT BOX WITH X
☓  SALTIRE
☔  UMBRELLA WITH RAIN DROPS
☕  HOT BEVERAGE
☖  WHITE SHOGI PIECE
☗  BLACK SHOGI PIECE
☘  SHAMROCK
☙  REVERSED ROTATED FLORAL HEART BULLET
☚  BLACK LEFT POINTING INDEX
☛  BLACK RIGHT POINTING INDEX
☜  WHITE LEFT POINTING INDEX
☝  WHITE UP POINTING INDEX
☞  WHITE RIGHT POINTING INDEX
☟  WHITE DOWN POINTING INDEX
☠  SKULL AND CROSSBONES
☡  CAUTION SIGN
☢  RADIOACTIVE SIGN
☣  BIOHAZARD SIGN
☤  CADUCEUS
☥  ANKH
☦  ORTHODOX CROSS
☧  CHI RHO
☨  CROSS OF LORRAINE
☩  CROSS OF JERUSALEM
☪  STAR AND CRESCENT
☫  FARSI SYMBOL
☬  ADI SHAKTI
☭  HAMMER AND SICKLE
☮  PEACE SYMBOL
☯  YIN YANG
☰  TRIGRAM FOR HEAVEN
☱  TRIGRAM FOR LAKE
☲  TRIGRAM FOR FIRE
☳  TRIGRAM FOR THUNDER
☴  TRIGRAM FOR WIND
☵  TRIGRAM FOR WATER
☶  TRIGRAM FOR MOUNTAIN
☷  TRIGRAM FOR EARTH
☸  WHEEL OF DHARMA
☹  WHITE FROWNING FACE
☺  WHITE SMILING FACE
☻  BLACK SMILING FACE
☼  WHITE SUN WITH RAYS
☽  FIRST QUARTER MOON
☾  LAST QUARTER MOON
☿  MERCURY
♀  FEMALE SIGN
♁  EARTH
♂  MALE SIGN
♃  JUPITER
♄  SATURN
♅  URANUS
♆  NEPTUNE
♇  PLUTO
♈  ARIES
♉  TAURUS
♊  GEMINI
♋  CANCER
♌  LEO
♍  VIRGO
♎  LIBRA
♏  SCORPIUS
♐  SAGITTARIUS
♑  CAPRICORN
♒  AQUARIUS
♓  PISCES
♔  WHITE CHESS KING
♕  WHITE CHESS QUEEN
♖  WHITE CHESS ROOK
♗  WHITE CHESS BISHOP
♘  WHITE CHESS KNIGHT
♙  WHITE CHESS PAWN
♚  BLACK CHESS KING
♛  BLACK CHESS QUEEN
♜  BLACK CHESS ROOK
♝  BLACK CHESS BISHOP
♞  BLACK CHESS KNIGHT
♟  BLACK CHESS PAWN
♠  BLACK SPADE SUIT
♡  WHITE HEART SUIT
♢  WHITE DIAMOND SUIT
♣  BLACK CLUB SUIT
♤  WHITE SPADE SUIT
♥  BLACK HEART SUIT
♦  BLACK DIAMOND SUIT
♧  WHITE CLUB SUIT
♨  HOT SPRINGS
♩  QUARTER NOTE
♪  EIGHTH NOTE
♫  BEAMED EIGHTH NOTES
♬  BEAMED SIXTEENTH NOTES
♭  MUSIC FLAT SIGN
♮  MUSIC NATURAL SIGN
♯  MUSIC SHARP SIGN
♰  WEST SYRIAC CROSS
♱  EAST SYRIAC CROSS
♲  UNIVERSAL RECYCLING SYMBOL
♳  RECYCLING SYMBOL FOR TYPE-1 PLASTICS
♴  RECYCLING SYMBOL FOR TYPE-2 PLASTICS
♵  RECYCLING SYMBOL FOR TYPE-3 PLASTICS
♶  RECYCLING SYMBOL FOR TYPE-4 PLASTICS
♷  RECYCLING SYMBOL FOR TYPE-5 PLASTICS
♸  RECYCLING SYMBOL FOR TYPE-6 PLASTICS
♹  RECYCLING SYMBOL FOR TYPE-7 PLASTICS
♺  RECYCLING SYMBOL FOR GENERIC MATERIALS
♻  BLACK UNIVERSAL RECYCLING SYMBOL
♼  RECYCLED PAPER SYMBOL
♽  PARTIALLY-RECYCLED PAPER SYMBOL
♾  PERMANENT PAPER SIGN
♿  WHEELCHAIR SYMBOL
⚀  DIE FACE-1
⚁  DIE FACE-2
⚂  DIE FACE-3
⚃  DIE FACE-4
⚄  DIE FACE-5
⚅  DIE FACE-6
⚆  WHITE CIRCLE WITH DOT RIGHT
⚇  WHITE CIRCLE WITH TWO DOTS
⚈  BLACK CIRCLE WITH WHITE DOT RIGHT
⚉  BLACK CIRCLE WITH TWO WHITE DOTS
⚊  MONOGRAM FOR YANG
⚋  MONOGRAM FOR YIN
⚌  DIGRAM FOR GREATER YANG
⚍  DIGRAM FOR LESSER YIN
⚎  DIGRAM FOR LESSER YANG
⚏  DIGRAM FOR GREATER YIN
⚐  WHITE FLAG
⚑  BLACK FLAG
⚒  HAMMER AND PICK
⚓  ANCHOR
⚔  CROSSED SWORDS
⚕  STAFF OF AESCULAPIUS
⚖  SCALES
⚗  ALEMBIC
⚘  FLOWER
⚙  GEAR
⚚  STAFF OF HERMES
⚛  ATOM SYMBOL
⚜  FLEUR-DE-LIS
⚝  OUTLINED WHITE STAR
⚞  THREE LINES CONVERGING RIGHT
⚟  THREE LINES CONVERGING LEFT
⚠  WARNING SIGN
⚡  HIGH VOLTAGE SIGN
⚢  DOUBLED FEMALE SIGN
⚣  DOUBLED MALE SIGN
⚤  INTERLOCKED FEMALE AND MALE SIGN
⚥  MALE AND FEMALE SIGN
⚦  MALE WITH STROKE SIGN
⚧  MALE WITH STROKE AND MALE AND FEMALE SIGN
⚨  VERTICAL MALE WITH STROKE SIGN
⚩  HORIZONTAL MALE WITH STROKE SIGN
⚪  MEDIUM WHITE CIRCLE
⚫  MEDIUM BLACK CIRCLE
⚬  MEDIUM SMALL WHITE CIRCLE
⚭  MARRIAGE SYMBOL
⚮  DIVORCE SYMBOL
⚯  UNMARRIED PARTNERSHIP SYMBOL
⚰  COFFIN
⚱  FUNERAL URN
⚲  NEUTER
⚳  CERES
⚴  PALLAS
⚵  JUNO
⚶  VESTA
⚷  CHIRON
⚸  BLACK MOON LILITH
⚹  SEXTILE
⚺  SEMISEXTILE
⚻  QUINCUNX
⚼  SESQUIQUADRATE
⚽  SOCCER BALL
⚾  BASEBALL
⚿  SQUARED KEY
⛀  WHITE DRAUGHTS MAN
⛁  WHITE DRAUGHTS KING
⛂  BLACK DRAUGHTS MAN
⛃  BLACK DRAUGHTS KING
⛄  SNOWMAN WITHOUT SNOW
⛅  SUN BEHIND CLOUD
⛆  RAIN
⛇  BLACK SNOWMAN
⛈  THUNDER CLOUD AND RAIN
⛉  TURNED WHITE SHOGI PIECE
⛊  TURNED BLACK SHOGI PIECE
⛋  WHITE DIAMOND IN SQUARE
⛌  CROSSING LANES
⛍  DISABLED CAR
⛎  OPHIUCHUS
⛏  PICK
⛐  CAR SLIDING
⛑  HELMET WITH WHITE CROSS
⛒  CIRCLED CROSSING LANES
⛓  CHAINS
⛔  NO ENTRY
⛕  ALTERNATE ONE-WAY LEFT WAY TRAFFIC
⛖  BLACK TWO-WAY LEFT WAY TRAFFIC
⛗  WHITE TWO-WAY LEFT WAY TRAFFIC
⛘  BLACK LEFT LANE MERGE
⛙  WHITE LEFT LANE MERGE
⛚  DRIVE SLOW SIGN
⛛  HEAVY WHITE DOWN-POINTING TRIANGLE
⛜  LEFT CLOSED ENTRY
⛝  SQUARED SALTIRE
⛞  FALLING DIAGONAL IN WHITE CIRCLE IN BLACK SQUARE
⛟  BLACK TRUCK
⛠  RESTRICTED LEFT ENTRY-1
⛡  RESTRICTED LEFT ENTRY-2
⛢  ASTRONOMICAL SYMBOL FOR URANUS
⛣  HEAVY CIRCLE WITH STROKE AND TWO DOTS ABOVE
⛤  PENTAGRAM
⛥  RIGHT-HANDED INTERLACED PENTAGRAM
⛦  LEFT-HANDED INTERLACED PENTAGRAM
⛧  INVERTED PENTAGRAM
⛨  BLACK CROSS ON SHIELD
⛩  SHINTO SHRINE
⛪  CHURCH
⛫  CASTLE
⛬  HISTORIC SITE
⛭  GEAR WITHOUT HUB
⛮  GEAR WITH HANDLES
⛯  MAP SYMBOL FOR LIGHTHOUSE
⛰  MOUNTAIN
⛱  UMBRELLA ON GROUND
⛲  FOUNTAIN
⛳  FLAG IN HOLE
⛴  FERRY
⛵  SAILBOAT
⛶  SQUARE FOUR CORNERS
⛷  SKIER
⛸  ICE SKATE
⛹  PERSON WITH BALL
⛺  TENT
⛻  JAPANESE BANK SYMBOL
⛼  HEADSTONE GRAVEYARD SYMBOL
⛽  FUEL PUMP
⛾  CUP ON BLACK SQUARE
⛿  WHITE FLAG WITH HORIZONTAL MIDDLE BLACK STRIPE
✀  BLACK SAFETY SCISSORS
✁  UPPER BLADE SCISSORS
✂  BLACK SCISSORS
✃  LOWER BLADE SCISSORS
✄  WHITE SCISSORS
✅  WHITE HEAVY CHECK MARK
✆  TELEPHONE LOCATION SIGN
✇  TAPE DRIVE
✈  AIRPLANE
✉  ENVELOPE
✊  RAISED FIST
✋  RAISED HAND
✌  VICTORY HAND
✍  WRITING HAND
✎  LOWER RIGHT PENCIL
✏  PENCIL
✐  UPPER RIGHT PENCIL
✑  WHITE NIB
✒  BLACK NIB
✓  CHECK MARK
✔  HEAVY CHECK MARK
✕  MULTIPLICATION X
✖  HEAVY MULTIPLICATION X
✗  BALLOT X
✘  HEAVY BALLOT X
✙  OUTLINED GREEK CROSS
✚  HEAVY GREEK CROSS
✛  OPEN CENTRE CROSS
✜  HEAVY OPEN CENTRE CROSS
✝  LATIN CROSS
✞  SHADOWED WHITE LATIN CROSS
✟  OUTLINED LATIN CROSS
✠  MALTESE CROSS
✡  STAR OF DAVID
✢  FOUR TEARDROP-SPOKED ASTERISK
✣  FOUR BALLOON-SPOKED ASTERISK
✤  HEAVY FOUR BALLOON-SPOKED ASTERISK
✥  FOUR CLUB-SPOKED ASTERISK
✦  BLACK FOUR POINTED STAR
✧  WHITE FOUR POINTED STAR
✨  SPARKLES
✩  STRESS OUTLINED WHITE STAR
✪  CIRCLED WHITE STAR
✫  OPEN CENTRE BLACK STAR
✬  BLACK CENTRE WHITE STAR
✭  OUTLINED BLACK STAR
✮  HEAVY OUTLINED BLACK STAR
✯  PINWHEEL STAR
✰  SHADOWED WHITE STAR
✱  HEAVY ASTERISK
✲  OPEN CENTRE ASTERISK
✳  EIGHT SPOKED ASTERISK
✴  EIGHT POINTED BLACK STAR
✵  EIGHT POINTED PINWHEEL STAR
✶  SIX POINTED BLACK STAR
✷  EIGHT POINTED RECTILINEAR BLACK STAR
✸  HEAVY EIGHT POINTED RECTILINEAR BLACK STAR
✹  TWELVE POINTED BLACK STAR
✺  SIXTEEN POINTED ASTERISK
✻  TEARDROP-SPOKED ASTERISK
✼  OPEN CENTRE TEARDROP-SPOKED ASTERISK
✽  HEAVY TEARDROP-SPOKED ASTERISK
✾  SIX PETALLED BLACK AND WHITE FLORETTE
✿  BLACK FLORETTE
❀  WHITE FLORETTE
❁  EIGHT PETALLED OUTLINED BLACK FLORETTE
❂  CIRCLED OPEN CENTRE EIGHT POINTED STAR
❃  HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK
❄  SNOWFLAKE
❅  TIGHT TRIFOLIATE SNOWFLAKE
❆  HEAVY CHEVRON SNOWFLAKE
❇  SPARKLE
❈  HEAVY SPARKLE
❉  BALLOON-SPOKED ASTERISK
❊  EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
❋  HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
❌  CROSS MARK
❍  SHADOWED WHITE CIRCLE
❎  NEGATIVE SQUARED CROSS MARK
❏  LOWER RIGHT DROP-SHADOWED WHITE SQUARE
❐  UPPER RIGHT DROP-SHADOWED WHITE SQUARE
❑  LOWER RIGHT SHADOWED WHITE SQUARE
❒  UPPER RIGHT SHADOWED WHITE SQUARE
❓  BLACK QUESTION MARK ORNAMENT
❔  WHITE QUESTION MARK ORNAMENT
❕  WHITE EXCLAMATION MARK ORNAMENT
❖  BLACK DIAMOND MINUS WHITE X
❗  HEAVY EXCLAMATION MARK SYMBOL
❘  LIGHT VERTICAL BAR
❙  MEDIUM VERTICAL BAR
❚  HEAVY VERTICAL BAR
❛  HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT
❜  HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT
❝  HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT
❞  HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
❟  HEAVY LOW SINGLE COMMA QUOTATION MARK ORNAMENT
❠  HEAVY LOW DOUBLE COMMA QUOTATION MARK ORNAMENT
❡  CURVED STEM PARAGRAPH SIGN ORNAMENT
❢  HEAVY EXCLAMATION MARK ORNAMENT
❣  HEAVY HEART EXCLAMATION MARK ORNAMENT
❤  HEAVY BLACK HEART
❥  ROTATED HEAVY BLACK HEART BULLET
❦  FLORAL HEART
❧  ROTATED FLORAL HEART BULLET
❨  MEDIUM LEFT PARENTHESIS ORNAMENT
❩  MEDIUM RIGHT PARENTHESIS ORNAMENT
❪  MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT
❫  MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT
❬  MEDIUM LEFT-POINTING ANGLE BRACKET ORNAMENT
❭  MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT
❮  HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT
❯  HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT
❰  HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT
❱  HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT
❲  LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
❳  LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
❴  MEDIUM LEFT CURLY BRACKET ORNAMENT
❵  MEDIUM RIGHT CURLY BRACKET ORNAMENT
❶  DINGBAT NEGATIVE CIRCLED DIGIT ONE
❷  DINGBAT NEGATIVE CIRCLED DIGIT TWO
❸  DINGBAT NEGATIVE CIRCLED DIGIT THREE
❹  DINGBAT NEGATIVE CIRCLED DIGIT FOUR
❺  DINGBAT NEGATIVE CIRCLED DIGIT FIVE
❻  DINGBAT NEGATIVE CIRCLED DIGIT SIX
❼  DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
❽  DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
❾  DINGBAT NEGATIVE CIRCLED DIGIT NINE
❿  DINGBAT NEGATIVE CIRCLED NUMBER TEN
➀  DINGBAT CIRCLED SANS-SERIF DIGIT ONE
➁  DINGBAT CIRCLED SANS-SERIF DIGIT TWO
➂  DINGBAT CIRCLED SANS-SERIF DIGIT THREE
